OCC Code,Occupation Title,Major Category,
000N,N/A (not applicable),N/A,
10,Chief executives and legislators,Management Business and Financial,
20,General and operations managers,Management Business and Financial,
40,Advertising and promotions managers,Management Business and Financial,
51,Marketing managers,Management Business and Financial,
52,Sales managers,Management Business and Financial,
60,Public relations and fundraising managers,Management Business and Financial,
101,Administrative services managers,Management Business and Financial,
102,Facilities managers,Management Business and Financial,
110,Computer and information systems managers,Management Business and Financial,
120,Financial managers,Management Business and Financial,
135,Compensation and benefits managers,Management Business and Financial,
136,Human resources managers,Management Business and Financial,
137,Training and development managers,Management Business and Financial,
140,Industrial production managers,Management Business and Financial,
150,Purchasing managers,Management Business and Financial,
160,Transportation storage and distribution managers,Management Business and Financial,
205,"Farmers, ranchers, and other agricultural managers",Management Business and Financial,
220,Construction managers,Management Business and Financial,
230,Education and childcare administrators,Management Business and Financial,
300,Architectural and engineering managers,Management Business and Financial,
310,Food service managers,Management Business and Financial,
335,Entertainment and recreation managers,Management Business and Financial,
340,Lodging managers,Management Business and Financial,
350,Medical and health services managers,Management Business and Financial,
360,Natural sciences managers,Management Business and Financial,
410,"Property, real estate, and community association managers",Management Business and Financial,
420,Social and community service managers,Management Business and Financial,
425,Emergency management directors,Management Business and Financial,
440,Other managers,Management Business and Financial,
500,"Agents and business managers of artists, performers, and athletes",Management Business and Financial,
510,"Buyers and purchasing agents, farm products",Management Business and Financial,
520,"Wholesale and retail buyers, except farm products",Management Business and Financial,
530,"Purchasing agents, except wholesale, retail, and farm products",Management Business and Financial,
540,"Claims adjusters, appraisers, examiners, and investigators",Management Business and Financial,
565,Compliance officers,Management Business and Financial,
600,Cost estimators,Management Business and Financial,
630,Human resources workers,Management Business and Financial,
640,"Compensation, benefits, and job analysis specialists",Management Business and Financial,
650,Training and development specialists,Management Business and Financial,
700,Logisticians,Management Business and Financial,
705,Project management specialists,Management Business and Financial,
710,Management analysts,Management Business and Financial,
725,"Meeting, convention, and event planners",Management Business and Financial,
